,reviews
15,I love the airline I love the service but big business oil isn't the future and I just wish they would improve their ethical responsibilities. I still fly them for any long haul flights because of their fantastic service though
16,"God saves mankind from Emirates airline especially their staff in Ghana 🇬🇭, more especially those at Kotoka International Airport, Accra. Most of them are unprofessional. They discriminate and intimidate especially first time travelers. They lie through their teeth and think Ghana 🇬🇭 is an island. How I wish everyone will find it easier to take transit visa and skip emirates."
17,"Fine if you don't need any support from Customer Services. Absolutely appalling. Been trying to contact them for two months regarding a request to amend an existing booking. Multiple unfulfilled promises of calls back while they ""look into our query"". Advised to follow up via email, still no response after doing so several times. Useless and incredibly dissappointing. Going on holiday today with our request unresolved. Will never book with them again due to unresponsiveness."
18,"Flight attendants and crew least helpful.. Its not like service, more like doing a favour.Had to wait an hour after pressing the call button for them to come and even ask what is required. And then, it was 3 different crew members later, i got water. Was very difficult and inconvenient to keep my 7-yr old waiting for something as basic as water. Really need to improve service standards."
19,"Booked a round trip from London Heathrow (LHR) to Dubai (DXB) for 6 days.The experience was excellent. Multi-cultural cabin crew that will always serve to you with a smile. Their A380s are also cozy and spacious with plenty of legroom. Food they serve onboard is top quality and has got to be the best compared to any other airline. The LED lightings inside Emirates planes are also beautiful, relaxing with a somewhat calming effect; especially if it's a night flight. Would continue flying with Emirates any day."
20,"They dont treat everyone same, I wanted to change my flight dates and I can see online there were many flights available for the dates I wanted to change for when I called Emirates and told them I dont mind paying amendment fee but they code me higher price for the tickets which was cheaper on their website when I ask why I have been charging more they said the rule is different for existing customer. So buy new tickets in normal price but if you changing your tickets then you pay more plus the amendment fee. I dont know if its discrimination or what but is very unfair not treating everyone same.My call was transferred to INDIA call center where agents are very rude unprofessional and racist I would say her name was ALISHA. She argued with me for an hour on the policy for UK residents for traveling on family emergency. She kept saying she knows everything and when I asked her can speak to ur supervisor/manager as their is misunderstanding of Emirates terms and conditions for UK, she wont transfer my call and keep saying ""I know I'm right you dont need to speak to anyone as I said ma'am so I will not transfer the call to anyone as I know what Im saying and I know my job"" I find this whole experience very disturbing and very disappointed in Emirates. Qatar, Qantus, saudi and specially BA have much better customer service agents and they treat all the customers equal and fair by not charging more, the prices are equal to everyone new or existing customer."
21,"We travelled to Australia via Dubai on 13/10. The seats were okay - row 68 but the passengers in front reclined their seats throughout the entire flight (which they are entitled to) leaving us with very little space and made the 14 hour flight from Dubai to Australia really uncomfortable and draining. On the return trip I decided to upgrade to seats that offered more legroom. Don't bother! The seats, although giving more legroom are really small and very uncomfortable. The monitor for watching films is at a strange angle and tray is more suited to a 6 year old child rather than an adult. I was on the aisle seat and was bumped by passengers using the toilet and cabin crew and their trolleys. For me these were actually the worst seats ever and a total waste of money. This would be my top complaint for flying Emirates.The cabin crew were pleasant and the food was quite good. There are numerous films to choose from but they were not very good and I spent a lot of time trying to find something I could watch.Would I fly Emirates again?....……. Not too sure."
22,"God saves mankind from Emirates airline especially their staff in Ghana 🇬🇭, more especially those at Kotoka International Airport, Accra. Most of them are unprofessional. They discriminate and intimidate especially first time travelers. They lie through their teeth and think Ghana 🇬🇭 is an island. How I wish everyone will find it easier to take transit visa and skip emirates."
23,We traveled business class from NYC to Malpensa in October My luggage was damaged with no chance to repair it upon arrival to Italy I filed a report with an Emirates employee who took a picture and gave me a form with a claim number I'm disabled and she said that I could buy a new luggage and request a refundThe item damaged was a Delsey brand new USD 299 plus tax I sent an email with the email provided with no response They finally send me a request to inform the brand and year of my destroyed luggage and the receipt The employee responded Barbara Arinci send me another email saying that they do not refund for my luggage but only replace or repair Mine has no chance for repairs only replacement How do they replace my new Delsey if not buying a new one??
24,Have flown quite a few times. Not so good this time. Food standard has slipped a bit.
25,Worst company I’ve ever flew with. Trying to resolve an issue on their part is extremely difficult. Me and my son have the same name. We booked and paid for the flights but only one ticket was on their system. 1 hour 45 mins on the phone and still couldn’t grasp that we had the same name even though we clearly had different dates of birth. At the check in counter had the exact same issue there and back. Some Staff on the plane act as though they’re doing you a favour and act as though you haven’t paid thousands of pounds for the flight. One female crew member pulled her face and shook her head because I was waiting for the toilet and she needed to put things in there for landing. I had to change the flights because I had done the wrong covid test. Took nearly two hours just to explain what had happened. Was told they would cost an additional £680 (down from £3000) if I took the later flight. I agreed to pay the 680 so he transferred me a lady who stated I had to pay £1080. I questioned her but her reply was the same every time. She could answer me why her collet had said 680 but she was saying 1080. Only ‘it just us 1080’ over and over again. In 30seconds it jumped from 680 to a 1080 but couldn’t explain in the slightest why  I had no choice but to pay the 1080 if I wanted to go away with my children
26,I took flight EK0011 from DXB to London Gatwick and my experience was amazing especially with the service Of our cabin crew viktoria .
27,"Fine if you don't need any support from Customer Services. Absolutely appalling. Been trying to contact them for two months regarding a request to amend an existing booking. Multiple unfulfilled promises of calls back while they ""look into our query"". Advised to follow up via email, still no response after doing so several times. Useless and incredibly dissappointing. Going on holiday today with our request unresolved. Will never book with them again due to unresponsiveness."
28,"Booked a round trip from London Heathrow (LHR) to Dubai (DXB) for 6 days.The experience was excellent. Multi-cultural cabin crew that will always serve to you with a smile. Their A380s are also cozy and spacious with plenty of legroom. Food they serve onboard is top quality and has got to be the best compared to any other airline. The LED lightings inside Emirates planes are also beautiful, relaxing with a somewhat calming effect; especially if it's a night flight. Would continue flying with Emirates any day."
29,"One of the check in ladies at Copehagen refused to let me carry on my carry on baggage, despite having taken 12 other flights, including 2 other Emirates flights with no problems on this trip. I went and repacked a few things and lined back up and the same lady went and told every other agent about me. Her colleague with dark curly hair and darker skin was even more rude and unfriendly and it seemed like she set out to make my life hell. I have never been treated so poorly by airline staff. I ended up in tears and they couldn't care less. Honestly one of the worst flying experiences I have had. It isn't much better on board. The cabin crew are not overly friendly, you press the call button and it takes so long to get help you wonder if it worked. The food is also average, one of the meals was so horrible, I couldn't even eat it and they feed you at odd times.The entertainment options are terrible, most of the options I hadn't heard of to the point where I downloaded movies on Netflix to watch instead. All in all, for an airline that I was so excited to fly with, it hasn't been a great experience and I will be looking at other airlines before flying Emirates again that's for sure."
30,There is a prostitute working on the this company be careful. She went with my husband to hotel five palm on 27 september. She contacted him. Her namne on instagram is Imadiziy. I wrote to her that he is married didnt mind at all to sleep with him for money. Be careful WHO ur husband speak with who works as flyg attendant.
31,"Flight attendants and crew least helpful.. Its not like service, more like doing a favour.Had to wait an hour after pressing the call button for them to come and even ask what is required. And then, it was 3 different crew members later, i got water. Was very difficult and inconvenient to keep my 7-yr old waiting for something as basic as water. Really need to improve service standards."
32,"Hello Armineh,Good day! This is Elle, the agent you have spoked with yesterday regarding your refund request on the itinerary 72292249890462. Just a heads up that I just checked with the last email I've sent to Emirates but their reply is just an automated reply and doesn't still have the informations we need, such as waiver codes to process the refund. It has been 2 months since the cancellation of the flight and still no refund or compensation payment by Emirates airlines. I will keep an eye to this itinerary until the end of this day so you may save your time from calling us back until tomorrow. Please check your emails too from time to time.Sincerely,Elle N.Cheaptickets Customer Support Team"
33,Flight cancelled after boarding.Would not help me to book alternative flight to travel to a wedding.Waited hours and hours... They shouted and screamed at passengers.Next day flight went late again. Mixed up check-in for 2 flights.During transit in Dubai their staff shouted and insulted...Utter pants.Obviously they are a case of all make up and no knickers.
34,"If I could Give a Minus Star🌟  I would, it's been over a MONTH, The airlines Damaged, destroyed and went through my Bags.. I bought my Luggage in June 2022, I recently travelled to ZANZIBAR and Emirates personal BROKEN INTO MY BAGS and Gave me a DEAD bag.. to make the matter Worst, They did not respond to me with care, rather judgement if I bought the BAG when I did... With 21 Email Communications am Yet to receive a SOLUTION... Is it because of my RACE... Could  be, as whilst I was at the Airport I FELT so be LITTLED by the staff at the AIRPORT, And Making me Miss my FLIGHT! until a Man Named Mohammed who helped Me 13HRS LATER after being Spoken to anyhow, I had to Buy a ticket for my journey for their Mistakes so NOT ONLY MY BAGS WAS DESTROYED AND DAMAGE I had to purchase an EXTRA TICKET... HOW DO I TAKE THIS MATTER FURTHER as Until Now I feel Ignored, Not respected and unappreciated as a customer... This experience had Made NOT TO EVER BOOK WITH EMIRATES or EVEN GO TO DUBAI EVER AGAIN..."
35,"Tried to get a credit for cancelled flights!  Still won't sort for us even after leaving a review on here!!Terrible customer service!! never booking with them again!  when speaking to the customer service team, they refuse to even look into it further!!!"
36,"I have traveled with Emirates (booking reference:H3HKK2) and had a horrible experience in August and September 2022. I made a complaint to them with the following reference number: LON/X/JU/101019/7572977 regarding my experience on the trip and described the issues I experienced in great detail. The airline was not empathetic towards the poor experience, overall service, and discomfort they had caused to me as a passenger. They merely apologized and brushed me off. I am very disappointed and I was hoping after making a complaint, they would be more understanding and compassionate for the discomfort I experienced which was causd by them. Unfortunately, they do not care and do not do anything to make things better. I will be strongly considering using other airlines after this experience."
37,"Flew from Taipei to Dubai with Emirates. Booked leg room seats as I'm very tall. Sat in front of the stewardess and chatted with the one passenger in my row. Ended up leaving my expensive noise cancelling headphones in the case upon leaving as I was very tired. Asked about it on airport and was redirected to email the 'Dubai Airports Contact Center'. I built the whole case, was kept in the loop by this 'Dubai Airports Contact Center' for over 3 months, including hearing ""you are required to provide above details within 5 days. (19/7/2022)"", later on they wrote me ""Kindly be advised that we are in the process of preparing the item to be ready for your collection, we will advise you as soon as it’s ready."", then they told me ""kindly be advised we will advise you as soon it’s ready to be dispatched."". Finally they emailed me ""We have checked with the all the concerned units, but regrettably we did not receive any item that is matching the description given by you."" What a bunch of incompetence. I dropped about $900 on a flight and you can't even locate my item, let alone communicate properly about the process of finding it.Flight EK367, 07/09/22 [TPE-DXB]"
38,"We flew to Dubai to Male and back with Emirates . Booked leg room seats as my husband very tall . On flight home leg room seat had less room than normal seat . The seats were very expensive. There was less legroom than on normal seat . After writing to customer services as advised by a member of cabin crew who agreed with me , I was told in amongst terms and conditions it states leg room seats in certain areas of plane are restricted due to emergency exit so they would not give a refund on that seat as they apparently gave us the seat I requested!! I am appalled at the customer service reply . That seat SHOULD NOT have been sold as extra legroom . My husband was so uncomfortable on that 7 hour flight . Very difficult company to deal with , I will not be flying with them again"
39,"I a writing as I had a terrible experience when trying to board my flight to Johannesburg, South Africa with Emirates in Milan Malpensa, Italy.When looking for a flight to Johannesburg earlier this year, I chose to pay substantially more of ourtickets with Emirates (even though it was more expensive than alternative airlines) because I haveup till now only had very good experiences with Emirates.I bought the tickets for myself and my partner from Milan via Dubai to Johannesburg on the 18th ofAugust 2022 and paid for them via Paypal.Our Booking reference is I46DIB.When I tried to check in a week before flying, I saw that the check only opened 2 days before the flightleft, and as I was traveling in the days before I did not get around to checking in before I arrived atthe airport in Milan.When I went to the check in counter in Milan Malpensa they told me to go to Emirates ticket sales,as there was a problem with my ticket.When I went to the ticket sales I was told that my ticket was not paid for and that I would need topay the total amount, for our 2 return flights in cash in order to fly on the flight leaving that night.Gabriella Pinna (the manager on duty) asked if I had a proof of the payment, when I logged intopaypal and showed her a confirmation of the transaction, she was not interested in seeingthe proof of payment (with a transaction id, which could be tracked by Emirates) and maintainedthat I would need to pay cash in order to fly. I offered to email the proof of payment onto her, whichshe could pass on to the accounts department at Emirates, however she refused.I find this situation remarkable, and disappointing. Especially since I bought the tickets in August 2022and did not receive either email either from Emirates of Paypal saying there way a problem with thepayment going through.I naturally do not carry 1850 Euros in cash around with me, and felt treated like a criminal eventhough I had proof that the flight was in fact paid for.I asked if she could call someone and ask if they would look at  my proof of payment, but she wasreluctant too, only when I persisted and refused to leave the counter, did she call them. She askedthem to repeat what she had told me, that I need to pay cash, and would not tell them (even though I asked her to) that I couldemail a proof of the payment. She also refused to let me speak to them myself.Having no choice as the flight was then leaving in 2 hours, I asked if I could pay by credit card.Even though she had a credit card machine there, she refused. Myself and my partner drew out theca. 1850 euros. At additional expense in inconvenience as we had to use a foreign ATM (whichcharged us additional fees), and we needed to draw out Euros, from our accounts in Switzerland(which is in swiss francs) which incurs more additional fees. As we both have a cash withdraw limiton our cards it was not possible for us to even draw out the total amount from one of our accounts.Which meant paying the bank fees twiceThis was a horrible start to out trip to South Africa, not only have we paid for the airline ticketstwice, but our access to money to spend on our trip has also been limited as we did not budget on an additional 1850 euros.This is particularly frustrating as the money was in fact paid in full for the purchase, but there wasno interest in the evidence of this. Instead we were treated as untrustworthy criminals, who were noteven allowed to pay by credit card.I have always enjoyed flying with Emirates and have recommended it to many friends over the last15 years.When we boarded our flight to Dubai, it was exceptionally good as well, with very friendly and helpful cabin crew and a comfortable flight. In spite of this, the experience I have checking in at the ticket desk in Milan makes me think that I will not fly with Emirates again, or recommend it to anyone.If there was a problem with the transaction on Emirates system, the least that I would expect is anemail about it before hand. And an interest, in the proof of payment, I could provide at the airport. Not a totallack of interest and only finding out about this at the airport a few hours before the flight was dueto leave.I would be grateful if the money from this flight could be refunded as soon as possible.I emailed a similar complaint to Emirates, to what is written here, immediately after flying. A week later I received an email saying they would pass this onto the accounts department. 4 Days later I have still not heard back from them. I called emirates today and no one was able to help me.I find the customer service in this regard terrible."
40,Airline allowed racist passengers to have their way and apologised to them as they can drop their seat whilst we have a meal served by cabin crew. Also discriminated against us by not making reasonable adjustment. All they do is apologise but clearly their incompetence made our journey a nightmare. Would not recommend if they allow this. Be warned!
41,"Seats were selected for my family of 4 well in advance (4 months) of the travel date. Additionally my mother who was also travelling with us with a different booking was selected to sit adjacent to us in a disabled seat. We had no issues during check in as well however seats were changed last minute by emirates staff at the gate prior to getting inside the aircraft. The staff at the gate did not even apologize for the inconvenience. Their attitude was either take the seats they give or don’t fly. Despite paying extra money for the tickets to get complimentary seat selection, we were told to sit in different seats. We clearly did not receive the service we paid extra money for. This whole experience has caused a lot of inconvenience.Flight EK522, 13/08/22 [DXB-TRV]"
42,"Emirates cancelled my original flight on which I had paid $95 for an emergency exit seat. The new changed flight  had no availability of this seat type, however Emirates refuse to refund me my $95.  I was shocked by this policy and what a scam they are running.  I was told I could cancel the whole ticket but then i don't get the tax and fees back so its a lose, lose situation.   I'm disgusted that they operate this way."
43,"After sending emails to the Emirates CEO UK and Emirates CEO Dubai complaining about the excess charge for one case, I have now been blocked from both... how bad is that, they ignored my emails and then blocked me..."
44,Our flight was delayed from Perth Australia to Glasgow via Dubai . We got on the plane to be told that the delay was due a fuel fault. They hadn't managed to fix it but we're going to take off anyway and fly to India instead to refuel and then got Dubai..we missed all connections and got home a full day late ...I wrote a complaint...was ignored and offered air miles...this is a brief outline of what happened . My son is Austistic ... it was truly a nightmare
45,"Disappointed, really unprofessional staff.Me and my wife booked a flight to Indonesia for our 10th anniversary. We checked the requirements for albanian citizens prior to the trip to make sure we were prepared. On Emirates website (requirements-by-destination) Albanians dont need a visa to enter Indonesia. On the day of the flight, the emirates staff boarded us on the plane without checking our documents. When we reached there, the Indonesian customs officers did not let us get visas on arrival, they told us we needed visas before going there. They turned us back to Dubai on the same flight. When we contacted the customer affairs they blamed Batik air which was just our connecting flight from Jakarta to Bali. Isnt that such a nonsense, joke, laughable answer?"
46,Airline changed our flights to times that were much cheaper when we booked. Our original flights were be sold by emirates weeks after they changed ours.It appears that they are changing passengers flights so they can fill less popular flights and sell seats on preferred flights at a higher premium.I expect they wait until a certain point to change peoples flights knowing that flights with other airlines have increased so passengers are stuck with accepting the alternative flight Emirates offers them.Another couple I know are having the same experience and for completely different destinations.
47,"Just to say a quick thank you to the customers service rep at the Manchester Airport checkin desk.Her name is Unatti Hindocha and although she was quite new, appeared experienced and knowledgeable and very courteous.Bravo Emirates Airlines"
48,"Never book on their website, it's a mistake. They subcontract parts of the journey and then blame everything on their partners, even if you booked the full journey with Emirates. A complete joke of an airline, will never fly again, makes British Airways, Lufthansa and Ryanair all seem like Mother Theresas. They also lost our luggage and blamed their partner, meaning that our baby stroller disappeared"
49,"i prefer qatar airways, but fly emirates is the second choice for me website and app have issue"
50,"My wife and I recently caught a flight from Gatwick to Zanzibar, the first leg which was Gatwick to Dubai was incredibly disappointing, we flew with Emirates several years ago with our kids and absolutely loved the experience. This time however was very different. After boarding we quickly discovered that they have clearly changed how they work, appear friendly when stepping on the plane however they soon become machines who aren't interested whatsoever. There is no drinks service, we were only given wine with our main meal, we asked with the second meal to be told they have fruit juice or water! The food itself was very bland and dry, my wife's Indian vegetarian meal (the only vegetarian option) was actually not bad at all and I wished I had that myself. When we flew with Emirates back in 2013 we all received a little bag which had a blanket and lotions etc, a real nice touch. This time we had miserable staff that aren't interested in you or serving you, they like to chat about what they are doing between themselves and really aren't interested in paying passengers. I believe that if you are in economy they look down on you and get what is required, I'm sure if you travel business you get all the luxury. I may add that we usually travel business (this holiday was a cheap getaway). Etihad and unbelievably British Airways are way way better. I will never waste my money on Emirates again as I believe they just don't care if you are in cattle class, this I believe is as they really see it."
51,"Since 2012 I have been a twice yearly passenger with Emirates Airline. The level of customer care and attendance was exemplary. Nothing was too much trouble and the only issue I ever had resulted in no gluten free meal on the flight from Lon to BKK. The flight crew did manage to get me some food which was better than nothing.Because of previous experiences I decided to book once more with Emirates only to discover it was the worst mistake I have made since booking with Delta. I have metal plates and screws in my right ankle which unfortunately swells up on a long flight and all I require is an aisle seat that allows me to, on occasion, stretch out my right leg. This helps to prevent any swelling and of course the pain that goes with it.I have tried to explain this to a number of their so called customer service staff and I get no assistance apart from a demand for 318 GBP to sit in an extended legroom seat. I DO NOT NEED AN EXTENDED LEGROOM SEAT.They are refusing to allow me to choose a seat without paying an exorbitant amount of money on top of the 1400.00 GBP I have paid for my flights. It is clear that like most of the airlines, the pandemic resulted in experienced and caring customer service staff leaving and not returning. So the airline will just employ any idiot that can answer a phone, give you no help and even send you text messages at 02:45 in the morning telling you they are not prepared to help. I am hoping I can transfer my tickets onto a decent airline as I will NEVER use or recommend this airline to anyone again."
52,"transit flight Addis to Warsaw, over 36h delay in Dubai  as flight was cancelled. For the 36h delay, was offered one meal and  no accommodation!!!!!! 36h in the airport lobby!!!!!!!!!!!!!!  I kept asking for it continuously. No compensation offered either. I've lost timelines and trip was a waste of time. I see they do don't bother to reply to passenger reviews. Will take legal action. 1* because I don't have the option to go minus"
53,I had originally requested for wheelchair assistance which was confirmed. Later I booked the emergency exit seat paid the money the amount was accepted seat 88k allocatedOn the day if my flight even though I'm Bengaluru I was issued a boarding pass with 88k in Dubai they refused to give me the seat what is worse they allocated the seat to another person without checking with me. Worst still no wheel chair assistance was provided after walking almost uoto the aircraft I was told 80k the worst possible seat was allocated and wheelchair was forcibly given for a 3 minutes distance. They were proving a point. I submitted a complaint the Emirates airlines does not even have the courtesy of replying. On the flight no attendant allocated at the tail end I had to wait two hours for a glass of water after pressing the buzzer at least six times. The reply I got from the steward was we have 400 people to attend. Is that an answer you give to a customer. If I had an emergency nobody would have come. What kind of airlines is this and they call themselves world class airlines.
54,Rude Rude Rude airline crew. Racist and behaved with me so badly just because I am vegetarian and I selected vegetarian meal during my flight booking. They had not enough veg meals. When I asked what was the point of booking prior and stating veg. meals they got upset and kept targeting me during the entire flight. Hopeless airline crew who should be sacked.
55,"I hope to never fly with this chaotically unsafe airline again. We arrived in good time to check in at Dubai only to find that my wife’s and 5 year old daughters seats had been changed to be apart on the flight. Previously we had been sent an automatic allocation of seats 2 days before the flight placing them together. Despite my pointing out that a 5 year old cannot travel unaccompanied, no one seemed to care and I had to insist that a manager at least be involved. We were then taken to the aircraft in the hope that some passengers might change seats. 20 minutes past with no good news whilst we were just left to stand by the aircraft door. At no point was any offer made regarding accommodation or alternate flight and, again, we were encouraged to accept that our daughter would have to travel next to a random stranger and presumably feed herself hot meals throughout the 7 hour flight. And then…as the doors were about to be shut..2 seats together were suddenly found! When I complained formally about the distress this all caused, a curt reply was sent denying that seats had been changed at check in. My view of this airline feels irreparable damaged and I simply wouldn’t trust them with providing a reliable and safe journey in the future when they cannot even look properly at what went wrong on this occasion."
56,"The standard of Emirates Airlines keeps rising; professionalism, comfort, care and entertainment are incomparable to any other. Food is heavenly, divine. The flight supervisor Girlie, made the experience even more outstanding with her warmth and welcoming! Fabulous trip!"
57,I booked a ticket with phone and the agent made a mistake in the spelling. When I checked on the website I found it. I asked them to change it. they ask me 30 euro. why should I give that money for their mistake.
58,"We booked a holiday with virgin but flew Emirates. we ere so excited as the hype with them being one of the best airlines to fly with.well how disappointed can you be on our return flight home from Mauritius we had to change at Dubai. the first meal they gave us was an apple turnover unfortunately neither of us eat them so tough on that one then. Lunch turned up which unfortunately I did not like so i finished before my Husband. Once he had finished he asked the hostess to remove his tray , not once or twice but four times.  two and a half hours later they removed it because we were landing in Birmingham and he had to put the tray up in front of him. No apology nothing so to be honest not impressed at all"
59,"Very bad experience.very disappointed with the service. I bought my ticket on 2nd july 2022   then had to cancel for some reason ,spoke to emirates travel advisor who suggested to fill out the refund form and I would get the full amount back .I filled the form on 2nd July 22 Emirates deducted £800 as cancelation charges.£200 per passenger I returned my tickets on the same day I bought. Tickets were available to buy ,there was no loss to Emirates.I believe Emirates tricked me advisor  tricked me to fill the return form instead of giving the correct unformation.Never book ticket with Emirares."
60,"I recently flew to Dubai with Emirates A380 from Manchester. I find it extremely uncomfortable being closed inside the cabin once the aircraft has parked by the gate. On both flights the Emirates cabin crew were amazingly supportive and took the time to care about how i felt, especially on arrival in Manchester. On my return journey two other passengers onboard were unwell - all i can say is the crew took great care of them. I have flown with Emirates many times and i feel confident to do so again. Top class cabin crew!"
61,I got a very traumatic experience flying with an infant. Never again
62,"I had booked return flights with wheelchair service for my 60 year old Mom for AMD to DFW and back.Strike 1: The flight schedule was changed and instead of 3 hours bearable lay-over, now there was a 11 hour lay-over. They gave hotel accommodation but I was still worried due to my mother’s health and age.Strike 2: While returning from DFW and reaching DXB, they told my mother that she doesn’t have wheelchair booked. Due to less passengers, upon asking for help, they agreed to provide her wheelchair but what if the flight was packed?Strike 3: I talked to customer service about their initial refusal to provide a wheelchair and they had no answer but “Her wheelchair is booked”. So I asked customer service for the instructions that my mother should follow to get back to the airpot from hotel and again the only answer to all my questions was “Our staff will be there to assist her everywhere”. After her hotel stay, my mother was dropped at the road-side of the airport with NOBODY TO HELP HER. She asked questions to the passing-by people and thank God she was able to find her way into the airport wheelchair counter.I genuinely liked Emirates but this is very disappointing and inconvenient especially given that mother is a senior citizen. I’ll never fly emirates again."
63,"I wish I've read these reviews before attempting to purchase a ticket. Money gone (over 3000 euro) from the bank account to Emirates airline- no booking, no confirmation of any kind, nothing! Customer Service- they will make sure to put you on hold. That's it, nothing else. I've spent most part of the day on hold."
